      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:09:21   230      0   00:09:24   187      0
 24   00:08:27   175      0   00:17:17   145      0
 23   00:36:04  1347      0   01:26:04   878      0
 22   00:04:41   119      0   00:33:25   543      0
 21   00:14:37   218      0   00:19:54   198      0
 20   00:18:54   197      0   01:17:20   120      0
 19   00:27:17   465      0   00:51:32   502      0
 18   00:10:01   130      0   00:26:28   516      0
 17   00:32:35  1294      0   00:34:30  1011      0
 16   00:08:55   271      0   00:26:21   227      0
 15   00:12:20   784      0   00:13:22   296      0
 14   00:11:36   473      0   00:25:09   399      0
 13   00:05:12   241      0   00:22:19   242      0
 12   00:04:48    66     35   00:11:54   134      0
 11   00:13:04   383      0   00:23:14   455      0
 10   00:04:09   136      0   00:15:34   441      0
  9   00:16:15  4146      0   00:21:56  2613      0
  8   00:05:49   665      0   00:10:17   300      0
  7   00:11:08   239      0   00:14:53   141      0
  6   00:04:45   937      0   00:06:55   421      0
  5   00:07:15   624      0   00:10:35   585      0
  4   00:05:05   269      0   00:20:32   452      0
  3   00:02:30    90     11   00:05:47   189      0
  2   00:03:15   215      0   00:04:32   100      1
  1   00:07:05   221      0   00:08:01   245      0
